timestamp_s,step_index,imu_lin_acc_x,imu_lin_acc_y,imu_lin_acc_z,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,vibration_magnitude,lift_joint_position,lift_force_z,pseudo_pressure_pa,drive_joint_velocity,drive_joint_effort,lift_joint_velocity,roller_fl_velocity,roller_fr_velocity,roller_bl_velocity,roller_br_velocity,power_dissipated_w,temperature_c,fault_label
0.183333,11,-9.773266,-0.162935,0.860776,0.001253,-2.7e-05,-0.000134,9.812452,-0.053881,710.123926,8876.5491,0.000631,3383.699463,-0.071012,0.019238,-0.007654,0.019555,-0.002443,52.563792,25.0421,nominal
0.2,12,-9.771304,-0.044701,0.860234,0.002,-7.6e-05,-0.000199,9.809197,-0.055839,574.60175,7205.6112,-0.002849,2789.326821,-0.057281,0.030376,-0.012651,0.031038,-0.004083,40.994514,25.0747,nominal
0.216667,13,-9.771054,0.224602,0.85806,-0.000889,-0.000238,-0.000913,9.811176,-0.057511,436.750914,5452.001,0.016748,2492.533913,-0.043861,-0.005945,0.012778,-0.006822,0.002393,60.423271,25.1226,nominal
0.233333,14,-9.774391,-0.179145,0.859668,0.001296,-3.2e-05,-0.000109,9.813742,-0.059077,303.933303,3804.6847,0.001735,3408.039197,-0.03095,0.022281,-0.00589,0.022016,-0.00232,14.778903,25.1351,nominal
0.25,15,-9.770353,0.176311,0.857465,-0.000858,-0.000237,-0.000895,9.809559,-0.060275,167.606648,2106.7889,0.01728,2523.616968,-0.01683,-0.004484,0.013602,-0.006116,0.003587,46.576148,25.1729,nominal
0.266667,16,-9.774428,-0.176578,0.858893,0.001305,-3.1e-05,-0.000109,9.813795,-0.061311,38.187059,463.3321,0.004068,3410.21767,-0.003877,0.022909,-0.005676,0.023156,-0.001591,14.059056,25.1837,nominal
0.283333,17,-9.770756,0.180184,0.857375,-0.000837,-0.000215,-0.000916,9.80994,-0.062132,-100.540102,-1188.4315,0.017766,2530.041355,0.009613,-0.004545,0.013597,-0.005652,0.003289,45.638176,25.221,nominal
0.3,18,-9.774088,-0.175202,0.85866,0.001215,-3.5e-05,-0.000123,9.813284,-0.062724,-233.016238,-2896.3297,0.004649,3393.569607,0.022958,0.022313,-0.004445,0.02173,-0.000593,21.537134,25.237,nominal
0.316667,19,-9.77105,0.166532,0.856927,-0.000736,-0.000206,-0.000848,9.810012,-0.063141,-364.583936,-4661.3226,0.01764,2544.323481,0.036965,-0.004019,0.012642,-0.005795,0.002218,58.723041,25.2836,nominal
0.333333,20,-9.774282,-0.16117,0.858271,0.001145,-2.1e-05,-0.000149,9.81312,-0.063324,-498.020311,-6251.2652,0.006535,3380.66245,0.050001,0.020167,-0.003962,0.020637,0.0014,47.026072,25.3222,nominal
